,Generations to Reach Maximum Fitness ,,,,,,,,,
Chromosome Size,1,2,3,4,5,6,7,8,9,10
4,1,2,39,0,1,0,0,2,13,8
5,32,4,2,17,1,5,4,0,1,0
6,43,13,10,0,28,7,2,0,0,1
7,5,52,3,12,5,98,1,123,9,57
8,97,0,0,70,330,604,100,537,7,0
9,2,443,456,554,215,0,191,123,315,463
10,487,1778,142,964,562,812,119,1429,1540,3
