,Generations to Reach Maximum Fitness ,,,,,,,,,
Chromosome Size,1,2,3,4,5,6,7,8,9,10
4,4,0,16,1,0,4,4,0,0,0
5,0,0,3,0,47,6,0,5,38,1
6,0,80,4,50,18,1,69,3,23,0
7,67,159,78,5,0,155,6,122,24,231
8,98,85,0,909,163,12,127,18,119,57
9,5,1317,639,2,356,52,529,1293,425,47
10,103,2718,665,780,717,2,270,79,804,80
