,Generations to Reach Maximum Fitness ,,,,,,,,,
Chromosome Size,1,2,3,4,5,6,7,8,9,10
4,3,0,1,12,0,1,2,15,4,0
5,32,0,1,0,1,10,14,2,38,40
6,27,30,15,150,0,9,0,47,59,52
7,137,16,54,109,33,8,189,118,9,168
8,131,60,282,289,138,183,411,125,123,126
9,343,242,1,733,93,76,100,47,21,93
10,1990,314,1021,155,1058,22,119,386,1238,26
