,Generations to Reach Maximum Fitness ,,,,,,,,,
Chromosome Size,1,2,3,4,5,6,7,8,9,10
4,9,23,1,18,4,3,16,4,0,5
5,10,0,24,45,0,16,28,10,25,0
6,4,3,7,70,22,41,15,23,54,41
7,2,13,190,66,135,70,20,95,58,101
8,4,120,259,18,52,584,837,20,161,69
9,1496,230,484,1730,13,983,1,85,512,87
10,54,227,141,1453,1970,190,1574,480,47,354
