,Generations to Reach Maximum Fitness ,,,,,,,,,
Chromosome Size,1,2,3,4,5,6,7,8,9,10
4,1,0,3,0,0,0,0,0,0,0
5,9,5,0,0,27,0,17,1,1,13
6,9,0,0,21,18,26,10,1,2,25
7,27,96,204,1,148,141,103,0,17,38
8,330,1,13,6,265,23,851,2,11,9
9,51,250,310,1043,84,9,1,491,202,0
10,2,53,1416,1062,747,266,86,108,1104,403
