,Generations to Reach Maximum Fitness ,,,,,,,,,
Chromosome Size,1,2,3,4,5,6,7,8,9,10
4,13,0,0,1,0,0,1,21,1,0
5,44,0,4,3,3,19,0,9,0,0
6,1,12,12,1,1,18,2,10,73,35
7,0,63,1,116,69,12,0,145,171,15
8,117,7,78,15,648,0,40,125,128,3
9,258,726,331,221,136,12,1,385,350,639
10,601,111,853,378,32,578,822,1705,714,216
